Ico;Rok;Obdobie od;Obdobie do;Nazov;Odvetvie;SK Nace;Kategória zamestnancov(zo Štatistického úradu);Presný počet zamestnancov(z účtovnej závierky);Mesto;Okres;Kraj;Právna forma – kód;Právna forma;AktivaBrutto-1;AktivaCorr-1;Aktiva-1;AktivaPrev-1;AktivaBrutto-2;AktivaCorr-2;Aktiva-2;AktivaPrev-2;AktivaBrutto-3;AktivaCorr-3;Aktiva-3;AktivaPrev-3;AktivaBrutto-4;AktivaCorr-4;Aktiva-4;AktivaPrev-4;AktivaBrutto-5;AktivaCorr-5;Aktiva-5;AktivaPrev-5;AktivaBrutto-6;AktivaCorr-6;Aktiva-6;AktivaPrev-6;AktivaBrutto-7;AktivaCorr-7;Aktiva-7;AktivaPrev-7;AktivaBrutto-8;AktivaCorr-8;Aktiva-8;AktivaPrev-8;AktivaBrutto-9;AktivaCorr-9;Aktiva-9;AktivaPrev-9;AktivaBrutto-10;AktivaCorr-10;Aktiva-10;AktivaPrev-10;AktivaBrutto-11;AktivaCorr-11;Aktiva-11;AktivaPrev-11;AktivaBrutto-12;AktivaCorr-12;Aktiva-12;AktivaPrev-12;AktivaBrutto-13;AktivaCorr-13;Aktiva-13;AktivaPrev-13;AktivaBrutto-14;AktivaCorr-14;Aktiva-14;AktivaPrev-14;AktivaBrutto-15;AktivaCorr-15;Aktiva-15;AktivaPrev-15;AktivaBrutto-16;AktivaCorr-16;Aktiva-16;AktivaPrev-16;AktivaBrutto-17;AktivaCorr-17;Aktiva-17;AktivaPrev-17;AktivaBrutto-18;AktivaCorr-18;Aktiva-18;AktivaPrev-18;AktivaBrutto-19;AktivaCorr-19;Aktiva-19;AktivaPrev-19;AktivaBrutto-20;AktivaCorr-20;Aktiva-20;AktivaPrev-20;AktivaBrutto-21;AktivaCorr-21;Aktiva-21;AktivaPrev-21;AktivaBrutto-22;AktivaCorr-22;Aktiva-22;AktivaPrev-22;AktivaBrutto-23;AktivaCorr-23;Aktiva-23;AktivaPrev-23;AktivaBrutto-24;AktivaCorr-24;Aktiva-24;AktivaPrev-24;AktivaBrutto-25;AktivaCorr-25;Aktiva-25;AktivaPrev-25;AktivaBrutto-26;AktivaCorr-26;Aktiva-26;AktivaPrev-26;AktivaBrutto-27;AktivaCorr-27;Aktiva-27;AktivaPrev-27;AktivaBrutto-28;AktivaCorr-28;Aktiva-28;AktivaPrev-28;AktivaBrutto-29;AktivaCorr-29;Aktiva-29;AktivaPrev-29;AktivaBrutto-30;AktivaCorr-30;Aktiva-30;AktivaPrev-30;AktivaBrutto-31;AktivaCorr-31;Aktiva-31;AktivaPrev-31;AktivaBrutto-32;AktivaCorr-32;Aktiva-32;AktivaPrev-32;AktivaBrutto-33;AktivaCorr-33;Aktiva-33;AktivaPrev-33;AktivaBrutto-34;AktivaCorr-34;Aktiva-34;AktivaPrev-34;AktivaBrutto-35;AktivaCorr-35;Aktiva-35;AktivaPrev-35;AktivaBrutto-36;AktivaCorr-36;Aktiva-36;AktivaPrev-36;AktivaBrutto-37;AktivaCorr-37;Aktiva-37;AktivaPrev-37;AktivaBrutto-38;AktivaCorr-38;Aktiva-38;AktivaPrev-38;AktivaBrutto-39;AktivaCorr-39;Aktiva-39;AktivaPrev-39;AktivaBrutto-40;AktivaCorr-40;Aktiva-40;AktivaPrev-40;AktivaBrutto-41;AktivaCorr-41;Aktiva-41;AktivaPrev-41;AktivaBrutto-42;AktivaCorr-42;Aktiva-42;AktivaPrev-42;AktivaBrutto-43;AktivaCorr-43;Aktiva-43;AktivaPrev-43;AktivaBrutto-44;AktivaCorr-44;Aktiva-44;AktivaPrev-44;AktivaBrutto-45;AktivaCorr-45;Aktiva-45;AktivaPrev-45;AktivaBrutto-46;AktivaCorr-46;Aktiva-46;AktivaPrev-46;AktivaBrutto-47;AktivaCorr-47;Aktiva-47;AktivaPrev-47;AktivaBrutto-48;AktivaCorr-48;Aktiva-48;AktivaPrev-48;AktivaBrutto-49;AktivaCorr-49;Aktiva-49;AktivaPrev-49;AktivaBrutto-50;AktivaCorr-50;Aktiva-50;AktivaPrev-50;AktivaBrutto-51;AktivaCorr-51;Aktiva-51;AktivaPrev-51;AktivaBrutto-52;AktivaCorr-52;Aktiva-52;AktivaPrev-52;AktivaBrutto-53;AktivaCorr-53;Aktiva-53;AktivaPrev-53;AktivaBrutto-54;AktivaCorr-54;Aktiva-54;AktivaPrev-54;AktivaBrutto-55;AktivaCorr-55;Aktiva-55;AktivaPrev-55;AktivaBrutto-56;AktivaCorr-56;Aktiva-56;AktivaPrev-56;AktivaBrutto-57;AktivaCorr-57;Aktiva-57;AktivaPrev-57;AktivaBrutto-58;AktivaCorr-58;Aktiva-58;AktivaPrev-58;AktivaBrutto-59;AktivaCorr-59;Aktiva-59;AktivaPrev-59;AktivaBrutto-60;AktivaCorr-60;Aktiva-60;AktivaPrev-60;AktivaBrutto-61;AktivaCorr-61;Aktiva-61;AktivaPrev-61;AktivaBrutto-62;AktivaCorr-62;Aktiva-62;AktivaPrev-62;AktivaBrutto-63;AktivaCorr-63;Aktiva-63;AktivaPrev-63;AktivaBrutto-64;AktivaCorr-64;Aktiva-64;AktivaPrev-64;AktivaBrutto-65;AktivaCorr-65;Aktiva-65;AktivaPrev-65;Predchádzajúce obdobie od;Predchádzajúce obdobie do;
36482978;2008;2008-01-01;2008-12-31;"WIN-POL s. r. o.";"Veľkoobchod";"Nešpecializovaný veľkoobchod s potravinami, nápojmi a tabakom [46390]";nezistený;;"Bratislava - mestská časť Staré Mesto";"Bratislava I";Bratislavský;112;"Spol. s r. o.";5172807.54165837;380236.340702383;4792571.20095598;3782015.53475403;1263858.46112992;377215.694084844;886642.767045077;578802.363407024;16995.2864635199;5244.63918210184;11750.647281418;1626.50202482905;;;;;12248.556064529;5244.63918210184;7003.91688242714;1626.50202482905;;;;;;;;;;;;;4746.7303989909;;4746.7303989909;;;;;;1246863.1746664;371971.054902742;874892.119763659;577175.861382195;237934.010489278;;237934.010489278;73424.9485494257;321947.81915953;61209.5864037708;260738.232755759;276804.089490805;601307.840403638;310761.468498971;290546.371904667;216557.126734382;;;;;;;;;;;;;85673.5046139547;;85673.5046139547;10389.6966075815;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3901115.31567417;3020.64661753967;3898094.66905663;3200657.23959371;618103.963353914;;618103.963353914;654418.110602138;896.235809599681;;896.235809599681;829.847971851557;;;;;;;;;;;;;617207.727544314;;617207.727544314;653588.262630286;;;;;;3020.64661753967;-3020.64661753967;-28413.9945561973;;3020.64661753967;-3020.64661753967;-28413.9945561973;;;;;;;;;;;;;;;;;;;;;;;;;2984697.60339906;;2984697.60339906;2046670.64993693;2967503.15342229;;2967503.15342229;1995286.46351988;;;;;;;;;;;;;;;;;;;;;17194.4499767643;;17194.4499767643;1294.56283608843;;;;50089.62358096;298313.748921198;;298313.748921198;527982.473610834;5476.99661422028;;5476.99661422028;71234.1499037376;292836.752306977;;292836.752306977;456748.323707097;;;;;;;;;;;;;7833.7648542787;;7833.7648542787;2555.93175330279;7833.7648542787;;7833.7648542787;2555.93175330279;;;;;;;;;;;;;;;
36489379;2008;2008-07-01;2015-01-31;"EVIR, s.r.o. v konkurze";"Maloobchod";"Maloobchod s obuvou a koženými výrobkami v špecializovaných predajniach [47720]";nezistený;;"Bardejov";"Bardejov";Prešovský;112;"Spol. s r. o.";;;;10689;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10689;;;;7535;;;;;;;;;;;;;;;;;;;;7535;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3154;;;;;;;;;;;;;;;;;;;;;;;;;;;;3154;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2014-01-01;2014-02-28;
36514179;2008;2008-09-01;2009-08-31;"STIGA Slovakia, s.r.o.";"Strojárstvo";"Výroba strojov pre poľnohospodárstvo a lesníctvo [28300]";200-249 zamestnancov;;"Poprad";"Poprad";Prešovský;112;"Spol. s r. o.";;;24017226;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36543829;2008;2008-01-01;2008-12-31;"ROAD MASTERS s.r.o.";"Doprava a logistika";"Nákladná cestná doprava [49410]";nezistený;;"Komárno";"Komárno";Nitriansky;112;"Spol. s r. o.";2287658.50096262;1004149.23985926;1283509.26110337;1371108.01301202;1982639.58042887;1004149.23985926;978490.340569608;929363.340635996;5576.57837084246;1294.56283608843;4282.01553475403;6273.65066719777;;;;;5576.57837084246;1294.56283608843;4282.01553475403;1128.59324171812;;;;;;;;;;;;;;;;5145.05742547965;;;;;1977063.00205802;1002854.67702317;974208.325034854;923089.689968798;;;;;2456.34999668061;33.1939188740623;2423.15607780655;;1974606.65206134;1002821.4831043;971785.168957047;923089.689968798;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;290347.208391423;;290347.208391423;426176.724424086;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;227643.895638319;;227643.895638319;327955.918475735;124444.001858859;;124444.001858859;249385.91250083;;;;;;;;;;;;;;;;;;;;;23567.6824005842;;23567.6824005842;33027.949279692;79632.2113788754;;79632.2113788754;45542.0566952134;62703.3127531036;;62703.3127531036;98220.8059483503;51583.3499302928;;51583.3499302928;69873.1992299011;11119.9628228109;;11119.9628228109;28347.6067184492;;;;;;;;;;;;;14671.7121423355;;14671.7121423355;15567.9479519352;14671.7121423355;;14671.7121423355;15567.9479519352;;;;;;;;;;;;;;;
36564206;2008;2008-01-01;2008-12-31;"Wöhrle k.s.";"Kovovýroba a hutníctvo";"Výroba ostatných kovových výrobkov i. n. [25990]";25-49 zamestnancov;;"Šurany";"Nové Zámky";Nitriansky;113;"Kom. spol.";2085972.24988382;534488.481710151;1551483.76817367;1606452.89782912;838046.86981345;534488.481710151;303558.3881033;419040.031866162;19119.6972714599;19119.6972714599;;;3319.39188740623;3319.39188740623;;;15800.3053840536;15800.3053840536;;;;;;;;;;;;;;;;;;;;;;;818927.17254199;515368.784438691;303558.3881033;419040.031866162;;;;;;;;;818927.17254199;515368.784438691;303558.3881033;419040.031866162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1243278.231428;;1243278.231428;1182500.16596959;495817.566221868;;495817.566221868;595996.813383788;424052.313616146;;424052.313616146;525393.347938658;42222.6648078072;42222.6648078072;42222.6648078072;70603.46544513051;29542.5877979154;;29542.5877979154;;;;;;;;;;;;;;;;;99.5817566221868;;;;;;;;;;;;;;;;;;;;;;;;99.5817566221868;;;;;310097.59012149;;310097.59012149;450209.121688907;225287.127398261;;225287.127398261;421861.514970457;;;;;;;;;;;;;;;;2821.48310429529;;;;;24165.1729403173;;24165.1729403173;23102.9675363473;60645.2897829118;;60645.2897829118;2423.15607780655;437363.075084644;;437363.075084644;136194.649140278;2655.51350992498;;2655.51350992498;35683.4627896169;434707.56157472;;434707.56157472;100511.186350661;;;;;;;;;;;;;4647.14864236872;;4647.14864236872;4912.69999336122;3253.0040496581;;3253.0040496581;4912.69999336122;;;;;1394.14459271062;;1394.14459271062;;;;;;;;
36565911;2008;2008-02-01;2009-01-31;"Miba Steeltec s.r.o.";"Kovovýroba a hutníctvo";"Kovanie, lisovanie, razenie a valcovanie kovov; prášková metalurgia [25500]";500-999 zamestnancov;;"Vráble";"Nitra";Nitriansky;112;"Spol. s r. o.";37989741;6461604;31528137;33672044;27241150;5925444;21315706;23179580;100023;37249;62774;72330;;;;;100023;37249;62774;36549;;;;;;;;;;;;;;;;35783;;;;;27141127;5888195;21252932;23107250;450267;;450267;450267;12495248;1149508;11345740;11967703;13967709;4738687;9229022;10167961;;;;;;;;;;;;;227903;;227903;421994;;;;99316;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10696869;536160;10160709;10431786;5272703;500402;4772301;5940749;3802066;406212;3395854;4162750;;;;;692040;34932;657108;186948;;;;;48413;19854;28559;71832;;;;2124;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;230697;;230697;304587;9181;;9181;5378;1948365;;1948365;820155;2980;;2980;5377;1945385;;1945385;814778;;;;;;;;;;;;;51722;;51722;60678;44004;;44004;49454;7718;;7718;11224;;;;;;;;;;;
36566098;2008;2008-01-01;2008-12-30;"Visteon Slovakia, s.r.o.";"Strojárstvo";"Výroba chladiacich a ventilačných zariadení iných ako pre domácnosti [28250]";nezistený;;"Nitra";"Nitra";Nitriansky;112;"Spol. s r. o.";75221337.05105224;75234448.6490075;75221337.05105224;55237402.907787345;31410641.970391;5612693.35457744;25797948.6158136;27662251.8754564;2217187.81119299;753369.182765717;1463818.62842727;1707262.82944964;;;;;2217187.81119299;753369.182765717;1463818.62842727;1707262.82944964;;;;;;;;;;;;;;;;;;;;;29193454.159198;4859324.17181172;24334129.9873863;25954989.0460068;;;;;1215494.92133041;275708.690167961;939786.231162451;563865.099913696;24836752.3069774;3856867.82181504;20979884.4851623;14329582.4205006;;;;;;;;;2496149.50541061;726747.659828719;1769401.84558189;1760107.54829715;645057.425479652;;645057.425479652;6564562.17221005;;;;2736871.80508531;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49672774.3477395;267045.077341831;49405729.2703977;27442707.2960234;9629223.92617672;35019.5844121357;9594204.34176459;5175064.7281418;1994058.28852154;33758.2154949213;1960300.07302662;1791874.12865963;137190.466706499;497.908783110934;136692.557923388;292206.06784837;1054238.86344022;763.460134103432;1053475.40330611;624643.165372104;;;;;6443736.30750846;;6443736.30750846;2341266.67994423;;;;125074.686317467;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35402775.0116179;232025.492929695;35170749.5186882;12424915.3555069;32899190.0683795;134999.668060811;32764190.4003187;11323341.9637522;;;;;;;;;;;;;;;;;;;;;2301699.52864635;;2301699.52864635;1039334.79386576;201885.414592047;97025.824868884;104859.589723163;62238.5978888668;4640775.4099449;;4640775.4099449;9842727.21237469;3385.77972515435;;3385.77972515435;32961.5614419438;4637389.63021974;;4637389.63021974;9809765.65093275;;;;;;;;;;;;;17659.1648410011;;17659.1648410011;132443.736307508;17659.1648410011;;17659.1648410011;56993.9587067649;;;;;;;;75449.7776007436;;;;;;;
36567761;2008;2008-01-01;2008-12-31;"Nitrianska investičná, s.r.o.";"Projektovanie a inžiniering";"Ostatné inžinierske činnosti a súvisiace technické poradenstvo [71129]";3-4 zamestnanci;;"Nitra";"Nitra";Nitriansky;112;"Spol. s r. o.";;;32032;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1228;;;;;;;;26721;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36568040;2008;2008-09-01;2009-08-31;"METROPOLITAN SK s.r.o.";"Školstvo a vzdelávanie";"Ostatné vzdelávanie i. n. [85590]";nezistený;;"Košice";"Košice I";Košický;112;"Spol. s r. o.";;;106961;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36578380;2008;2008-10-01;2009-09-30;"DIAKOL STRÁŽSKE, s.r.o.";"Chémia a plasty";"Výroba plastov v primárnej forme [20160]";25-49 zamestnancov;;"Strážske";"Michalovce";Košický;112;"Spol. s r. o.";;;7422046;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36593362;2008;2008-10-01;2009-09-30;"IMPERIUM, s.r.o.";"Právo, poradenstvo a účtovníctvo";"Poradenské služby v oblasti podnikania a riadenia [70220]";nezistený;;"Michalovce";"Michalovce";Košický;112;"Spol. s r. o.";;;406165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36614807;2008;2008-11-01;2009-10-31;"BLACHERE Illumination Central Europe s.r.o.";"Veľkoobchod";"Veľkoobchod s nábytkom, kobercami a svietidlami [46470]";3-4 zamestnanci;;"Bratislava - mestská časť Ružinov";"Bratislava II";Bratislavský;112;"Spol. s r. o.";;;907797;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36616257;2008;2008-07-01;2009-06-30;"Top Wheels, s.r.o.";"Predaj a údržba vozidiel";"Veľkoobchod s dielmi a príslušenstvom motorových vozidiel [45310]";nezistený;;"Bratislava - mestská časť Staré Mesto";"Bratislava I";Bratislavský;112;"Spol. s r. o.";2535577;176680;2358897;2181468;305011;175147;129864;161262;124382;99865;24517;65990;;;;;124382;99865;24517;65990;;;;;;;;;;;;;;;;;;;;;180629;75282;105347;95272;;;;;;;;;180629;75282;105347;95272;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2226277;1533;2224744;2015563;1301392;;1301392;1148227;485;;485;301;;;;;;;;;;;;;1298985;;1298985;1118086;1922;;1922;29840;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;232412;;232412;100687;;;;;;;;;68774;;68774;;159045;;159045;98728;58004;;58004;22431;1742;;1742;1476;56262;;56262;20955;;;;;;;;;;;;;4289;;4289;4643;;;;;4289;;4289;4643;;;;;;;;;;;
36631124;2008;2008-01-01;2008-12-31;"Slovenská pošta, a.s.";"Doprava a logistika";"Činnosti poskytovateľov univerzálnej poštovej služby [53100]";10000-19999 zamestnancov;10114;"Banská Bystrica";"Banská Bystrica";Banskobystrický;121;"Akc. spol.";;;379810000;361528000;;;304249000;261183000;;;30152000;18580000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;270812000;239314000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3285000;3289000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54165000;89335000;;;2482000;2697000;;;;;;;;;;;;;;;;;;;;;;;;;;;343000;369000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25702000;27332000;;;25702000;27332000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25638000;58937000;;;;;;;;;;;;;;;;;;;;;;;21396000;11010000;;;;;;;;;;;;;;;;;;;
36633283;2008;2008-01-01;2008-12-31;"Letisko Sliač, a.s. „v likvidácii“";"Doprava a logistika";"Vedľajšie činnosti v leteckej doprave [52230]";1 zamestnanec;;"Sliač";"Zvolen";Banskobystrický;121;"Akc. spol.";;;2443672;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;337395;;;;;;;;182944;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36633381;2008;2008-10-01;2009-09-30;"Johnson Controls Lučenec, s.r.o.";"Automobilový priemysel";"Výroba ostatných dielov a príslušenstva pre motorové vozidlá [29320]";0 zamestnancov;0;"Bratislava - mestská časť Staré Mesto";"Bratislava I";Bratislavský;112;"Spol. s r. o.";;;47005340;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36633879;2008;2008-01-01;2008-12-31;"HKM a.s.";"Cestovný ruch a gastro";"Činnosti športových klubov [93120]";5-9 zamestnancov;;"Zvolen";"Zvolen";Banskobystrický;121;"Akc. spol.";1614220.27484565;219345.415919804;1394874.85892584;1267211.0469362;801633.140808604;168293.168691496;633339.972117108;352486.224523667;6837.94728805683;2854.67702316936;3983.27026488747;5377.41485759809;;;;;;;;;6837.94728805683;2854.67702316936;3983.27026488747;5377.41485759809;;;;;;;;;;;;;;;;;794795.193520547;165438.491668326;629356.701852221;347108.809666069;32530.040496581;;32530.040496581;32530.040496581;21907.9864568811;3219.81013078404;18688.1763260971;19783.5756489411;740357.166567085;162218.681537542;578138.485029543;294795.193520547;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;806877.779990706;51052.2472283078;755825.532762398;910177.255526788;52977.4945230034;;52977.4945230034;28214.8310429529;34289.3181969063;;34289.3181969063;10721.6357963221;;;;;;;;;;;;;18688.1763260971;;18688.1763260971;17493.1952466308;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;616178.716059218;51052.2472283078;565126.46883091;775841.465843458;357299.342760406;51052.2472283078;306247.095532098;519982.739162185;;;;;;;;;;;;;;;;;;;;;;;;;258879.373298812;;258879.373298812;255858.726681272;137721.569408484;;137721.569408484;106120.958640377;8497.64323175994;;8497.64323175994;4846.31215561309;129223.926176724;;129223.926176724;101274.646484764;;;;;;;;;;;;;5709.35404633871;;5709.35404633871;4547.56688574653;4049.6581026356;;4049.6581026356;2389.96215893248;;;;;1659.69594370311;;1659.69594370311;2157.60472681405;;;;;;;
36635880;2008;2008-10-01;2009-09-30;"Ludovika Energy, s.r.o.";"Projektovanie a inžiniering";"Ostatné inžinierske činnosti a súvisiace technické poradenstvo [71129]";1 zamestnanec;;"Košice - mestská časť Sever";"Košice I";Košický;112;"Spol. s r. o.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36653799;2008;2008-01-01;2008-12-31;"VENDITIO, a.s.";"Média, vydavateľstvá a kultúra";"Vydávanie časopisov a periodík [58140]";2 zamestnanci;2;"Bratislava";"Bratislava I";Bratislavský;121;"Akc. spol.";195644.957843723;8730.00066387838;186914.957179845;125107.880236341;19451.6364602005;8730.00066387838;10721.6357963221;13642.7006572396;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11617.8716059218;8730.00066387838;2887.87094204342;5808.9358029609;;;;;;;;;11617.8716059218;8730.00066387838;2887.87094204342;5808.9358029609;;;;;;;;;;;;;;;;;;;;;;;;;7833.7648542787;;7833.7648542787;7833.7648542787;;;;;;;;;;;;;;;;;7833.7648542787;;7833.7648542787;7833.7648542787;;;;;;;;;;;;;175263.891655049;;175263.891655049;102336.851888734;;;;33.1939188740623;;;;33.1939188740623;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55998.1411405431;0;55998.1411405431;84146.5843457479;54803.1600610768;;54803.1600610768;84146.5843457479;;;;;;;;;;;;;;;;;;;;;;;;;1194.98107946624;;1194.98107946624;;119265.750514506;;119265.750514506;18157.0736241121;8099.31620527119;;8099.31620527119;17725.5526787493;111166.434309235;;111166.434309235;431.52094536281;;;;;;;;;;;;;929.429728473744;;929.429728473744;9128.32769036712;929.429728473744;;929.429728473744;597.490539733121;;;;;;;;8530.837150634;;;;;;;
36659207;2008;2008-01-01;2008-12-31;"Vojenská zotavovňa a hotel Zemplínska Šírava, a.s.";"Cestovný ruch a gastro";"Hotelové a podobné ubytovanie [55100]";25-49 zamestnancov;;"Kaluža";"Michalovce";Košický;121;"Akc. spol.";;;2899854;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;310529;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;266182;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
